Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
9,Apparatus and instruments for regulating electricity,3,9,Apparatus and instruments for conducting electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for regulating electricity,3,9,Apparatus and instruments for transforming electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for regulating electricity,3,9,Apparatus and instruments for switching electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for regulating electricity,3,9,Apparatus and instruments for accumulating electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for transforming electricity,3,9,Apparatus and instruments for conducting electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for transforming electricity,3,9,Apparatus and instruments for switching electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for switching electricity,3,9,Apparatus and instruments for conducting electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for accumulating electricity,3,9,Apparatus and instruments for conducting electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for accumulating electricity,3,9,Apparatus and instruments for transforming electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for accumulating electricity,3,9,Apparatus and instruments for switching electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
5,Materials for dressings,3,5,Corn rings for the feet,,"['3. Methods of use', '4. Complementary goods / services', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 4, 5, 6, 7, 8]"
5,Materials for dressings,3,5,Scapulars for surgical purposes,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
24,"Textile goods, and substitutes for textile goods",3,24,Furniture coverings of plastic,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
24,"Textile goods, and substitutes for textile goods",3,25,Clothing,"In view of the fact that bathrobes are included in the broad category of clothing (09/09/2020, T 50/19, Dayaday (fig.) / DAYADAY (fig.) et al, ECLI:EU:T:2020:407, § 128).) and bath towels are included in the broad category of textile goods, similarity must also be found between the broad categories of textile goods in Class 24 and clothing in Class 25.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Dairy products and dairy substitutes,3,30,Ice cream,,"['1. Nature', '2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 5, 6, 7, 8]"
29,Dairy products and dairy substitutes,3,30,Frozen yogurt [confectionery ices],,"['1. Nature', '2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 5, 6, 7, 8]"
29,Dairy products and dairy substitutes,3,30,Sorbets [ices],,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
17,"Seals, sealants and fillers",3,19,"Building and construction materials and elements, not of metal",,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
17,Insulation and barrier articles and materials,3,19,"Building and construction materials and elements, not of metal",,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Anti-friction bearings for machines,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Pumps [machines],,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Pistons [parts of machines or engines],,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Carburetters,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Clack valves [parts of machines],,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Piston segments,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Injectors for engines,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Cylinder heads for engines,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
12,"Powertrains, including engines and motors, for land vehicles",3,7,Crankcases for land vehicles engines,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Apparatus and instruments for controlling electricity,3,9,Apparatus and instruments for conducting electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for controlling electricity,3,9,Apparatus and instruments for transforming electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for controlling electricity,3,9,Apparatus and instruments for switching electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
9,Apparatus and instruments for controlling electricity,3,9,Apparatus and instruments for accumulating electricity,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
6,"Containers, and transportation and packaging articles, of metal",3,20,"Containers, and closures and holders therefor, non-metallic",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
6,Structures and transportable buildings of metal,3,19,"Structures and transportable buildings, not of metal",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
6,Statues and works of art of common metals,3,20,"Statues, figurines, works of art and ornaments and decorations, made of materials such as wood, wax, plaster or plastic, included in the class",Statues and works of art of common metals common metals in Class 6 also cover statues which may be kept at home for decorative purposes,"['1. Nature', '2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 5, 6, 7, 8]"
6,Statues and works of art of common metals,3,19,"Statues and works of art made of materials such as stone, concrete and marble, included in the class",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
6,"Doors, gates, windows and window coverings of metal",3,19,"Doors, gates, windows and window coverings, not of metal",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
6,Building and construction materials and elements of metal,3,19,"Building and construction materials and elements, not of metal",,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
5,Dental preparations and articles,3,10,Medical and veterinary apparatus and instruments,These group titles are considered similar because teeth filling material (covered by the group title 'Dental preparations and articles') in Class 5 is similar to dental apparatus and instruments (covered by the group title 'Medical and veterinary apparatus and instruments') in Class 10.,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
9,Computers,3,9,Smartwatches,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Computers,3,9,Mobile telephones,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 5, 6, 7, 8]"
9,Computers,3,9,Measuring apparatus and instruments,"'Measuring apparatus and instruments’ include goods such as ‘wearable activity trackers’, ‘connected bracelets [measuring instruments]’. ‘Data processing apparatus’ include e.g. ‘computers’, ‘mobile telephones’/ ‘smartphones’, which process the information (data) measured by devices used to track/monitor, for instance, physical activity (e.g. ‘wearable activity trackers’, ‘connected bracelets [measuring instruments]’). Therefore, ‘measuring apparatus and instruments’ cover goods whose purpose is to collect data which will be then processed and elaborated by data processing apparatus (and computers). These goods can be produced by the same undertaking, are directed to the same consumers and sold through the same channels. They can also coincide in the method of use (e.g. by, for instance, us of a touch screen monitor) and can be complementary as the user requires a tablet computer or another type of data processing apparatus to explore and exploit the functionalities provided by the wearable activity tracker.","['3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[3, 6, 7, 8]"
